"Data","Od","Do","Przedmiot","Grupa","Sala"
"27.05.2019","08:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"27.05.2019","10:15","12:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 315"
"27.05.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"29.05.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"29.05.2019","14:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31B","WI WI1- 316"
"30.05.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"30.05.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"01.06.2019","08:00","09:35","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"01.06.2019","09:40","11:20","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 A","WI WI1- 309"
"01.06.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 B","WI WI1- 309"
"02.06.2019","14:20","15:05","Historia informatyki","HSPO1_HI_W","WI WI1- 206"
"02.06.2019","15:10","16:45","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"02.06.2019","16:50","18:25","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"04.06.2019","10:15","12:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 315"
"04.06.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 302"
"04.06.2019","16:15","18:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 302"
"05.06.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"05.06.2019","14:15","16:00","Programowanie sieciowe","lato_S2_I_W_14","WI WI2- 100"
"06.06.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"06.06.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 308"
"06.06.2019","14:15","16:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"10.06.2019","08:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"10.06.2019","10:15","12:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 315"
"10.06.2019","12:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"12.06.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"12.06.2019","14:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31B","WI WI1- 316"
"13.06.2019","08:15","09:00","Historia informatyki","lato_HSPO1_Hi_W","WI WI2- 100"
"13.06.2019","10:15","12:00","Systemy operacyjne II","S1_I_L_213 B","WI WI1- 308"
"13.06.2019","12:15","13:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"13.06.2019","13:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31A","WI WI1- 308"
"13.06.2019","15:15","16:00","Systemy operacyjne II","S1_I_L_220 B","WI WI1- 308"
"15.06.2019","09:40","11:20","Programowanie 2","N1_I_L_10 A","WI WI1- 303"
"15.06.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 A","WI WI1- 309"
"15.06.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_30 B","WI WI1- 309"
"16.06.2019","09:40","11:20","Programowanie 2","N1_I_L_10 B","WI WI1- 303"
"16.06.2019","11:25","13:00","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 B","WI WI1- 309"
"16.06.2019","13:30","15:05","Programowanie kart graficznych - Przedmiot obieralny IV","PO IV_Pkg_L_31 A","WI WI1- 309"
"17.06.2019","09:15","10:00","Programowanie w językach skryptowych","BP1_PWJS_W_31","WI WI2- 126"
"17.06.2019","11:15","12:00","Programowanie sieciowe","lato_S2_I_L_14 A","WI WI1- 315"
"17.06.2019","13:15","14:00","Programowanie w językach skryptowych","BP1_PWJS_L_31C","WI WI1- 315"
"19.06.2019","12:15","14:00","Systemy operacyjne II","S1_I_L_222 A","WI WI1- 316"
"19.06.2019","14:15","15:00","Programowanie sieciowe","lato_S2_I_W_14","WI WI2- 100"
"19.06.2019","15:15","16:00","Programowanie w językach skryptowych","BP1_PWJS_L_31B","WI WI1- 316"
